train_loss,epoch,step
2.4685182571411133,0,0
3.1760451793670654,0,1
3.5921177864074707,0,2
2.924057960510254,0,3
3.462625503540039,0,4
3.5564894676208496,0,5
3.716400384902954,0,6
3.0214874744415283,0,7
3.7504770755767822,0,8
3.783179521560669,0,9
3.0883116722106934,0,10
2.999925136566162,0,11
2.4651994705200195,0,12
4.137439727783203,0,13
3.0866823196411133,0,14
2.8810179233551025,0,15
3.428722858428955,0,16
3.1673271656036377,0,17
3.3749072551727295,0,18
2.0723350048065186,0,19
3.2177369594573975,0,20
3.464778423309326,0,21
3.0184855461120605,0,22
2.923442840576172,0,23
3.6520848274230957,0,24
4.001893520355225,0,25
2.7480664253234863,0,26
2.8634305000305176,0,27
3.159518003463745,0,28
2.836477518081665,0,29
2.9607796669006348,0,30
2.4570870399475098,0,31
3.250199556350708,0,32
2.1927125453948975,0,33
2.6204538345336914,0,34
3.2156014442443848,0,35
2.761812448501587,0,36
1.8458635807037354,0,37
3.6224379539489746,0,38
3.197502613067627,0,39
3.862682342529297,0,40
3.8535585403442383,0,41
2.870840072631836,0,42
2.6967501640319824,0,43
3.1664071083068848,0,44
2.7179946899414062,0,45
3.0992205142974854,0,46
2.6679365634918213,0,47
2.47863507270813,0,48
2.7218217849731445,0,49
2.9452598094940186,0,50
2.6286516189575195,0,51
2.8147289752960205,0,52
3.198007583618164,0,53
2.9993884563446045,0,54
2.761051654815674,0,55
2.7265191078186035,0,56
3.0861778259277344,0,57
2.9762091636657715,0,58
3.545742988586426,0,59
3.3553531169891357,0,60
2.9953742027282715,0,61
2.942838668823242,0,62
2.5296013355255127,0,63
3.0593090057373047,0,64
3.781212568283081,0,65
2.6035807132720947,0,66
2.976649284362793,0,67
2.545506000518799,0,68
2.679595708847046,0,69
3.3788604736328125,0,70
3.382598876953125,0,71
2.7066454887390137,0,72
2.706939220428467,0,73
2.593703269958496,0,74
3.322312355041504,0,75
2.4856176376342773,0,76
3.0643506050109863,0,77
2.4222514629364014,0,78
3.1482017040252686,0,79
2.837116241455078,0,80
2.700834274291992,0,81
2.8683605194091797,0,82
3.3284974098205566,0,83
